,x,y,labels
0,5.443311,-0.5122884,10
1,22.117065,2.5262523,4
2,2.2345173,-3.341832,15
3,11.931785,-5.740621,19
4,-3.4713702,13.747497,1
5,-3.5272572,-0.9558591,14
6,5.4256654,-0.52997035,10
7,0.83172053,8.149156,5
8,9.006955,12.825931,7
9,2.228205,-3.3427515,15
10,-6.4668984,1.943965,3
11,1.2039877,7.7776713,5
12,8.99533,4.2274323,20
13,-3.5347733,13.328212,1
14,9.12243,7.3120546,2
15,-3.1423774,13.752898,1
16,-8.804802,5.6311626,16
17,-3.2843525,-0.71556276,14
18,0.95680416,8.024126,5
19,0.41893017,3.0783153,11
20,-3.1089058,-0.5397599,14
21,10.402667,-1.6237551,13
22,4.174159,-13.818491,9
23,8.919802,4.1514854,20
24,4.780422,22.196943,12
25,-2.6446729,-8.605784,6
26,8.755039,3.948562,20
27,-3.0225992,-0.4541007,14
28,7.9772997,13.496344,7
29,6.1445503,-7.2294064,0
30,-3.6636915,7.2977242,17
31,1.3223718,7.6605163,5
32,4.522565,8.488681,18
33,4.4529667,8.427112,18
34,4.7816973,22.196102,12
35,14.812495,-1.4471585,8
36,8.305888,13.213356,7
37,10.431484,-1.5947113,13
38,0.5212006,3.1808352,11
39,-2.6766088,-9.270037,6
40,0.39679593,3.055895,11
41,9.615033,7.6381288,2
42,9.526831,7.7314696,2
43,4.0939736,-13.73779,9
44,8.869777,4.0777435,20
45,-6.742985,2.2190602,3
46,-3.3633492,-0.7930101,14
47,6.327388,-7.411822,0
48,-3.6636696,7.297599,17
49,-8.870155,5.5661435,16
50,14.712737,-1.5463282,8
51,1.0688611,7.913594,5
52,22.07782,2.5310218,4
53,8.959555,7.140074,2
54,14.9038315,-1.3555434,8
55,4.7725115,-14.447291,9
56,11.931242,-5.7395735,19
57,-2.4454067,-9.058295,6
58,-3.8410473,13.469612,1
59,-6.720814,2.1976106,3
60,8.048204,13.431518,7
61,8.879052,13.013443,7
62,-8.674471,5.761473,16
63,4.5849133,8.537895,18
64,5.198066,-0.7568591,10
65,8.7892,6.9714117,2
66,10.349339,-1.6767931,13
67,4.612215,8.570945,18
68,8.807892,4.0306544,20
69,8.437401,13.097967,7
70,8.631818,12.7901,7
71,1.0613286,7.9206557,5
72,-3.497065,-0.92438835,14
73,4.4463325,-14.096142,9
74,4.367911,-14.012918,9
75,0.5894155,3.248506,11
76,6.249488,-7.3341675,0
77,5.159433,-0.7952625,10
78,-2.3500478,-9.172024,6
79,-8.78368,5.652229,16
80,9.6976385,7.5430074,2
81,-2.540002,-8.778894,6
82,4.6550126,-14.320338,9
83,10.350645,-1.6754785,13
84,-6.6779833,2.154397,3
85,22.084581,2.5276198,4
86,-3.1040745,13.793806,1
87,-3.5527225,13.321917,1
88,6.2372518,-7.321827,0
89,8.508081,12.901514,7
90,-2.5252242,-9.125018,6
91,-3.2392764,13.609243,1
92,-8.756171,5.680753,16
93,4.874166,-14.55196,9
94,-3.1542273,13.6350765,1
95,9.177738,7.3331895,2
96,2.2542043,-3.3689609,15
97,9.518037,7.768382,2
98,-2.7264287,-8.6496315,6
99,0.58275235,3.2399278,11
